aisle_group_id,aisle_name,head_term,products,chains,min_price_eur,top_form,base_share,sample_names
1,GROENTE & FRUIT,soepgroenten,13,5,0.99,vers,1.00,AH Soepgroenten luxe | Soepgroenten fijn | Jumbo Soepgroenten 450 g
1,GROENTE & FRUIT,peren,13,5,1.69,vers,1.00,1 de Beste Handperen verpakt | Jumbo Conference Peren 1KG | PLUS Handperen Conference
1,GROENTE & FRUIT,pompoen,12,5,0.82,vers,1.00,Bonbébé Biomenu m0414 pompoen 4+ maanden | Jumbo Stukjes Pompoen 450 g | AH Biologisch Pompoen stukjes
1,GROENTE & FRUIT,perziken,12,5,1.68,vers,1.00,AH Wilde perziken | Perziken | PLUS Perziken (los)
1,GROENTE & FRUIT,aardappelpartjes,11,5,0.85,bewerkt,0.82,AH Aardappelpartjes kleinverpakking | Aardappelpartjes Toscaanse stijl | PLUS Aardappelpartjes gekruid
1,GROENTE & FRUIT,rode bieten,11,5,0.85,vers,1.00,AH Biologisch Rode bieten los | Bio+ Biologische rode bieten gekookt | Biologisch PLUS Rode bieten biologisch
1,GROENTE & FRUIT,fruitsalade,10,5,1.59,bewerkt,0.00,Verse fruitsalade | 1 de Beste Fruitsalade | 1 de Beste Fruitsalade klassiek
1,GROENTE & FRUIT,bramen,10,5,1.99,vers,1.00,AH Doosje met bramen | Jumbo Vriesverse Bramen 250 g | PLUS Bramen
1,GROENTE & FRUIT,peer,10,5,0.41,vers,1.00,Conference peer | Spar handpeer per stuk | 1FRUIT Peer
1,GROENTE & FRUIT,peterselie,10,5,0.86,vers,1.00,Peterselie krul | peterselie | PLUS Peterselie
1,GROENTE & FRUIT,taugé,9,5,0.99,vers,1.00,Taugé | AH Taugé | Jumbo Taugé 125 g
1,GROENTE & FRUIT,vijgen,9,5,1.99,vers,1.00,Zongedroogde vijgen | Eat Me Vijgen vers | Smaakt Vijgen
1,GROENTE & FRUIT,asperges,9,5,1.49,vers,1.00,Belsun Geschilde asperges wit | Jumbo Asperges 185 g | PLUS Asperges
1,GROENTE & FRUIT,aardappelsalade,9,5,1.99,bewerkt,0.00,Jumbo Aardappelsalade 1kg | Aardappelsalade | Jumbo Aardappel Salade 600 g
1,GROENTE & FRUIT,druiven,9,5,2.00,vers,1.00,PLUS Druiven wit pitloos | Pitloze rode druiven | druiven wit
1,GROENTE & FRUIT,kokosnoot,8,5,1.49,vers,1.00,Kokosnoot | Biologisch PLUS Kokosnoot | Jumbo Biologische Kokosnoot
1,GROENTE & FRUIT,bieslook,8,5,0.99,vers,1.00,Bieslook | AH Bieslook | Neutraal Bieslook zakje
1,GROENTE & FRUIT,sjalotten,8,5,1.09,vers,1.00,1 de Beste Sjalotten | Bio+ sjalotten | AH Biologisch Sjalotten
1,GROENTE & FRUIT,nectarines,8,5,1.19,vers,1.00,PLUS Nectarines los | Nectarines | Platte nectarines
1,GROENTE & FRUIT,platte peterselie,7,5,1.19,vers,1.00,Neutraal Platte peterselie zakje | AH Platte peterselie | Jumbo Platte Peterselie 40 g
1,GROENTE & FRUIT,witte druiven,7,5,1.99,vers,1.00,AH Witte druiven pitloos | Pitloze witte druiven | Jumbo Druiven Wit Pitloos 500 g
1,GROENTE & FRUIT,witte kool,7,5,1.49,vers,1.00,Witte kool | AH Biologisch Witte kool | AH Biologisch Witte kool
1,GROENTE & FRUIT,grapefruit,7,5,1.10,vers,1.00,rode grapefruit | grapefruit rood | Grapefruit
1,GROENTE & FRUIT,cranberries,7,5,1.69,gedroogd,1.00,Gedroogde cranberries | PLUS Gedroogde cranberries | Jumbo Gedroogde Cranberry's 200g
1,GROENTE & FRUIT,oesterzwammen,6,5,1.49,vers,1.00,Oesterzwammen | Bio+ Oesterzwammen bio | AH Biologisch Oesterzwammen
1,GROENTE & FRUIT,limoenen,6,5,0.99,vers,1.00,Limoenen | PLUS Limoenen | limoenen
1,GROENTE & FRUIT,kropsla,6,5,0.59,vers,1.00,1 de Beste Kropsla | PLUS Kropsla | AH Kropsla
1,GROENTE & FRUIT,paksoi,6,5,1.25,vers,1.00,1 de Beste Paksoi | AH Paksoi | Jumbo Paksoi
1,GROENTE & FRUIT,appels,37,4,1.00,vers,1.00,Tessa Appels 1 KG | Elstar appels | AH Buitenbeentjes appel zak
