panel_slug,name_nl,department_slug,fixture_type,sort,aisle_group_ids,head_terms,products,chains,min_price_eur,top_form,sample_names,notes
volle-melk,Volle melk,zuivel-eieren,shelf,100,2,volle melk,116,6,0.89,houdbaar,Jumbo Houdbare Volle Melk 500ML | Verse volle melk | 1 de Beste Volle melk,
roomkaas,Roomkaas,zuivel-eieren,fridge,110,2,roomkaas,102,6,0.99,vers,Boursin Knoflook en fijne kruiden | Garlan Roomkaas knoflook & kruiden | Garlan Roomkaas Paprika Chili,
skyr,Skyr,zuivel-eieren,fridge,120,2,skyr,100,6,0.59,vers,Skyr met fruit | Arla Skyr Naturel | Arla Skyr Naturel 0% Fat 200 g,
eieren,Eieren,zuivel-eieren,fridge,130,2,eieren,97,6,1.59,vers,Vrije uitloop eieren wit M | Vrije uitloop eieren | PLUS Scharreleieren S/M 6ST,
koffiemelk,Koffiemelk,zuivel-eieren,shelf,140,2,koffiemelk,90,6,0.37,houdbaar,Melkan Koffiemelkcups halfvol | Jumbo Volle Koffiemelk Cups 10 Stuks | Jumbo Halfvolle Koffiemelk Cups 10 Stuks,
brood,Brood,bakkerij,bakery,10,6,brood,145,6,1.09,vers,Jumbo - Turks Brood Mini - 2 Stuks | AH Mini Turks brood | PLUS Partybrood wit gesneden,
stokbrood,Stokbrood & baguette,bakkerij,bakery,20,6,stokbrood;baguette,101,6,0.68,vers,AH Petit stokbrood wit | 1 de Beste Stokbrood wit | Spar stokbrood demi baguette wit,
wit-brood,Wit brood,bakkerij,bakery,30,6,wit brood,88,6,0.68,vers,PLUS Boeren wit tijger Half | Wit brood | AH Extra lang lekker tijger wit half,
volkoren-brood,Volkoren brood,bakkerij,bakery,40,6,volkoren brood;fijn volkorenbrood,81,6,0.59,vers,AH Extra lang lekker volkoren | Fijn volkoren | Bakker van der Akker Rond volkoren heel,
croissant,Croissant,bakkerij,bakery,50,6,croissant,73,6,0.48,vers,Roomboter croissant 65 g | Roomboter croissant | PLUS Roomboter croissant klein,
bruin-brood,Bruin brood,bakkerij,bakery,60,6,bruin brood,60,6,0.69,vers,Bruin rond | Jumbo - Boeren Tijgerbrood Bruin - Half | AH Extra lang lekker tijger bruin half,
cake,Cake,bakkerij,bakery,70,6,cake,42,6,0.99,bewerkt,AH Kersencake met banketbakkersroom | PLUS Cake mergpijpjes | Balconi Rollino pistacchio,
focaccia,Focaccia,bakkerij,bakery,80,6,focaccia,37,6,1.19,bewerkt,AH Focaccia mozzarella | AH Focaccia brie rozemarijn | AH Focaccia pepperoni,
pannenkoeken,Pannenkoeken,bakkerij,bakery,90,6,pannenkoeken,32,6,1.95,bewerkt,Daily Chef Pannenkoeken naturel 8 stuks | Pannenkoeken | AH Pannenkoeken naturel,
roggebrood,Roggebrood,bakkerij,bakery,100,6,roggebrood,30,6,1.19,vers,Van Dijk's Roggebrood fries | Van Dijk Roggebrood | Brood van Soma Blanco peel roggebrood,
sandwich,Sandwich,bakkerij,bakery,110,6,sandwich,30,6,1.69,bewerkt,Lotus sandwich vanille 5 pack | Wasa Sandwich cream cheese & chives 3 stuks | Wasa Sandwich tomaat & basilicum,
panini,Panini,bakkerij,bakery,120,6,panini,26,6,2.19,bewerkt,Jumbo - Panini Wit - 4 Stuks | Panini | AH Panini's,
chips,Chips,borrel-chips-snacks,shelf,10,13,chips,682,6,0.45,bewerkt,Paprika- of naturelchips | Lays Bugles chips nacho cheese | Chio Heartbreakers Classic Chips 30 g,
pinda-s,Pinda's,borrel-chips-snacks,shelf,20,13,pinda's,96,6,0.78,vers,Pinda's geroosterd en ongezouten | Jumbo Pinda's Ongezouten 250 g | Jumbo Pinda's Gezouten 250 g,
cashewnoten,Cashewnoten,borrel-chips-snacks,shelf,30,13,cashewnoten,91,6,2.14,vers,Special Nuts Gezouten Cashewnoten 200 g | 1 de Beste Cashewnoten gebrand ongezouten | 1 de Beste Cashewnoten gezouten,
notenmix,Notenmix,borrel-chips-snacks,shelf,40,13,notenmix,89,6,1.14,vers,Jumbo Walnoot & Rozijnen 95 g | Jumbo Pecan & Gedroogde Banaan 85 g | Pepitamix gezouten,
tortilla-chips,Tortilla chips,borrel-chips-snacks,shelf,50,13,tortilla chips,65,6,0.62,bewerkt,PLUS Tortilla chips naturel | 1 de Beste Tortilla chips naturel | 1 de Beste Tortilla nacho cheese,
borrelnoten,Borrelnoten,borrel-chips-snacks,shelf,60,13,borrelnoten,50,6,1.00,bewerkt,Epixs Borrelnoten wasabi | Epixs Borrelnoten cream | Epixs Borrelnoten crunch,
amandelen,Amandelen,borrel-chips-snacks,shelf,70,13,amandelen,47,6,0.99,vers,Alpro Mild & creamy no sugars | PLUS Amandelen gezouten | 1 de Beste Amandelen geroosterd en gezouten,
pistachenoten,Pistachenoten,borrel-chips-snacks,shelf,80,13,pistachenoten,29,6,2.39,vers,Jumbo Pistachenoten Gezouten 200 g | AH Pistaches gezouten | AH Gezouten pistachenoten,
walnoten,Walnoten,borrel-chips-snacks,shelf,90,13,walnoten,26,6,1.99,vers,Bio+ Bio walnoten gepeld | AH Walnoten | Walnoten,
pijnboompitten,Pijnboompitten,borrel-chips-snacks,shelf,100,13,pijnboompitten,24,6,1.99,vers,Jumbo Pijnboompitten Ongeroosterd 30 g | AH Geroosterde pijnboompitten | Jumbo Geroosterde Pijnboompitten 30 g,
bugles,Bugles,borrel-chips-snacks,shelf,110,13,bugles,14,6,0.69,bewerkt,Lay's Bugles nacho cheese flavour | Bugles nacho-cheese | Lay's Bugles nacho cheese,
pretzels,Pretzels,borrel-chips-snacks,shelf,120,13,pretzels,10,6,1.29,bewerkt,Olly's pretzels oh so cheesy | Crunchy pretzels | Olly's pretzels sesame,
noedels,Noedels,pasta-rijst-wereld,shelf,10,8,noedels,185,6,0.38,houdbaar,Mama Noodles rund | Mama Noodles kip | AH Snack up noodles groente,
spaghetti,Spaghetti,pasta-rijst-wereld,shelf,20,8,spaghetti,74,6,0.49,gedroogd,AH Spaghetti | Jumbo Spaghetti Vlugkokend 500 g | 1 de Beste Spaghetti,
rijst,Rijst,pasta-rijst-wereld,shelf,30,8,rijst,70,6,1.19,vers,AH Langgraan rijst | Lassie Toverrijst | Lassie Toverrijst builtjes,
pasta,Pasta,pasta-rijst-wereld,shelf,40,8,pasta,54,6,1.19,bewerkt,Pasta | Jumbo Pipe Rigate 500 g | Sammills Pasta d'oro mais glutenvrij,
macaroni,Macaroni,pasta-rijst-wereld,shelf,50,8,macaroni,47,6,0.36,gedroogd,1 de Beste Macaroni | AH Macaroni | PLUS Macaroni,
lasagne,Lasagne,pasta-rijst-wereld,shelf,60,8,lasagne,45,6,1.75,bewerkt,AH Lasagne | Honig Lasagne Original 250 g | Honig Honig lasagne original,
aardappelpuree,Aardappelpuree,pasta-rijst-wereld,shelf,70,8,aardappelpuree,43,6,0.56,bewerkt,1 de Beste Aardappelpuree a la minute 3 st. | Jumbo à la Minute Aardappelpuree 3 x 60 g | Jumbo Naturel Aardappelpuree Zakjes 2 x 138 g,
fusilli,Fusilli,pasta-rijst-wereld,shelf,80,8,fusilli,41,6,1.14,gedroogd,1 de Beste Fusilli | Jumbo Fusilli 500 g | AH Fusilli,
maaltijd,Maaltijd,pasta-rijst-wereld,shelf,90,8,maaltijd,38,6,1.29,bewerkt,"Spaghetteria of risotteria | Mama Deli Maaltijd Orzo, Courgette, Rode Paprika & Maïs 8+ Maanden 150 g | Jumbo's Jamaican Jerk Chicken 46 g",
